condition,seed,n,macro_f1,macro_f1_ci_low,macro_f1_ci_high,binary_f1,binary_majority_baseline,binary_lift,binary_balanced_accuracy,mean_tool_cost,mean_token_cost,mean_total_cost,mean_tokens,mean_latency_s,mean_n_tools,n_dead_classes,dead_classes,macro_f1_chance,wall_s
exhaustive,0,8181,0.9989760839883317,0.9982803740922014,0.9995532079094488,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,100.3
domain_all,0,8181,0.9989760839883317,0.9982803740922014,0.9995532079094488,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,100.1
fixed,0,8181,0.9998862062659364,0.9995456908336602,1.0,0.999905186308903,0.7839464882943143,0.21595869801458867,0.9999051952976867,1469.056237147048,0.0,1469.056237147048,0.0,0.0,1.0,0,[],0.25,70.2
random,0,8181,0.9407211524684163,0.9347288323219378,0.9459736393103785,0.9717283590789857,0.7839464882943143,0.18778187078467135,0.9710223410362888,1402.4832037770445,0.0,1402.4832037770445,0.0,0.0,2.086175284195086,0,[],0.25,69.6
core_only,0,8181,0.9996585427660388,0.9992610719447078,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.4
constrained,0,8181,0.9996585427660388,0.9992610719447078,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.5
no_core,0,8181,0.24220549091916987,0.237196351603441,0.2478992148084188,0.7266411116435074,0.7839464882943143,-0.05730537665080693,0.7804907185315897,1.040215548221489,0.0,1.040215548221489,0.0,0.0,1.0,2,"['dos', 'reconnaissance']",0.25,2.6
exhaustive,1,8181,0.9989760839883317,0.9983027887228202,0.9996594214844136,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,99.8
domain_all,1,8181,0.9989760839883317,0.9983027887228202,0.9996594214844136,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,100.2
fixed,1,8181,0.9998862062659364,0.9996559494461176,1.0,0.999905186308903,0.7839464882943143,0.21595869801458867,0.9999051952976867,1469.056237147048,0.0,1469.056237147048,0.0,0.0,1.0,0,[],0.25,70.1
random,1,8181,0.9398766132360815,0.9345731360475515,0.9450893504536063,0.975297878523685,0.7839464882943143,0.19135139022937064,0.9746668920846585,1407.880026916025,0.0,1407.880026916025,0.0,0.0,2.0959540398484293,0,[],0.25,69.8
core_only,1,8181,0.9996585427660388,0.9992103611116048,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.5
constrained,1,8181,0.9996585427660388,0.9992103611116048,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.5
no_core,1,8181,0.24220549091916987,0.2371501829111565,0.24695879134287796,0.7266411116435074,0.7839464882943143,-0.05730537665080693,0.7804907185315897,1.040215548221489,0.0,1.040215548221489,0.0,0.0,1.0,2,"['dos', 'reconnaissance']",0.25,2.7
exhaustive,2,8181,0.9989760839883317,0.9981691633270126,0.9995468704762756,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,103.3
domain_all,2,8181,0.9989760839883317,0.9981691633270126,0.9995468704762756,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,101.7
fixed,2,8181,0.9998862062659364,0.9996566329368844,1.0,0.999905186308903,0.7839464882943143,0.21595869801458867,0.9999051952976867,1469.056237147048,0.0,1469.056237147048,0.0,0.0,1.0,0,[],0.25,70.6
random,2,8181,0.9354192437273098,0.9293162703636857,0.9403057915726311,0.9714730795443481,0.7839464882943143,0.1875265912500338,0.9716046708486401,1408.2021001222345,0.0,1408.2021001222345,0.0,0.0,2.102310231023102,0,[],0.25,69.6
core_only,2,8181,0.9996585427660388,0.9992032489848108,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,18.0
constrained,2,8181,0.9996585427660388,0.9992032489848108,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.4
no_core,2,8181,0.24220549091916987,0.23682260728235852,0.2469258458570409,0.7266411116435074,0.7839464882943143,-0.05730537665080693,0.7804907185315897,1.040215548221489,0.0,1.040215548221489,0.0,0.0,1.0,2,"['dos', 'reconnaissance']",0.25,2.7
exhaustive,3,8181,0.9989760839883317,0.9982709000210275,0.9996572553886695,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,100.8
domain_all,3,8181,0.9989760839883317,0.9982709000210275,0.9996572553886695,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,100.0
fixed,3,8181,0.9998862062659364,0.9996540371989605,1.0,0.999905186308903,0.7839464882943143,0.21595869801458867,0.9999051952976867,1469.056237147048,0.0,1469.056237147048,0.0,0.0,1.0,0,[],0.25,69.9
random,3,8181,0.9375487824380331,0.9316796788642377,0.9424959275280604,0.9719117504130625,0.7839464882943143,0.1879652621187482,0.9714435322060085,1394.7399646497984,0.0,1394.7399646497984,0.0,0.0,2.092409240924092,0,[],0.25,69.2
core_only,3,8181,0.9996585427660388,0.9992150168693912,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.4
constrained,3,8181,0.9996585427660388,0.9992150168693912,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.4
no_core,3,8181,0.24220549091916987,0.23728843748794834,0.24662223169800238,0.7266411116435074,0.7839464882943143,-0.05730537665080693,0.7804907185315897,1.040215548221489,0.0,1.040215548221489,0.0,0.0,1.0,2,"['dos', 'reconnaissance']",0.25,2.7
exhaustive,4,8181,0.9989760839883317,0.9983036827576676,0.9996551759359042,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,100.0
domain_all,4,8181,0.9989760839883317,0.9983036827576676,0.9996551759359042,0.999146838562897,0.7839464882943143,0.21520035026858264,0.998760788070692,2050.996660946095,0.0,2050.996660946095,0.0,0.0,3.0,0,[],0.25,99.8
fixed,4,8181,0.9998862062659364,0.9996554253580587,1.0,0.999905186308903,0.7839464882943143,0.21595869801458867,0.9999051952976867,1469.056237147048,0.0,1469.056237147048,0.0,0.0,1.0,0,[],0.25,69.8
random,4,8181,0.9346329696317021,0.9293312898282788,0.9399622842334945,0.971739341555793,0.7839464882943143,0.18779285326147865,0.9708679531928932,1408.8721051460702,0.0,1408.8721051460702,0.0,0.0,2.102676934360103,0,[],0.25,69.6
core_only,4,8181,0.9996585427660388,0.9992030591388642,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.4
constrained,4,8181,0.9996585427660388,0.9992030591388642,1.0,0.9997155049786629,0.7839464882943143,0.21576901668434856,0.9997155858930603,293.68040997433076,0.0,293.68040997433076,0.0,0.0,1.0,0,[],0.25,17.5
