condition,seed,n,macro_f1,macro_f1_ci_low,macro_f1_ci_high,binary_f1,binary_majority_baseline,binary_lift,binary_balanced_accuracy,mean_tool_cost,mean_token_cost,mean_total_cost,mean_tokens,mean_latency_s,mean_n_tools,n_dead_classes,dead_classes,macro_f1_chance,wall_s
exhaustive,0,12000,0.9549305195946006,0.947796218185805,0.9610675751302993,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,153.9
domain_all,0,12000,0.9549305195946006,0.947796218185805,0.9610675751302993,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,152.4
fixed,0,12000,0.955489662558976,0.9483741884560617,0.9618469638026504,0.9977827050997783,0.7929993964996982,0.2047833086000801,0.9962708175246615,2542.4396073499997,0.0,2542.4396073499997,0.0,0.0,1.0,0,[],0.1,106.8
random,0,12000,0.8899279385976284,0.8808405061613706,0.897742593267754,0.9384883409273653,0.7929993964996982,0.14548894442766713,0.9396326915197477,2348.2160094083333,0.0,2348.2160094083333,0.0,0.0,2.4133333333333336,0,[],0.1,106.9
core_only,0,12000,0.954194120983043,0.9466637953397544,0.9602519016882654,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,53.5
constrained,0,12000,0.954194120983043,0.9466637953397544,0.9602519016882654,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,53.8
no_core,0,12000,0.051079942236038046,0.05002131392547938,0.05211335557747425,0.02169305572871213,0.7929993964996982,-0.771306340770986,0.4994436456905006,1.9991873000000002,0.0,1.9991873000000002,0.0,0.0,1.6,8,"['ddos', 'dos', 'injection', 'mitm', 'password', 'ransomware', 'scanning', 'xss']",0.1,3.9
exhaustive,1,12000,0.9549305195946006,0.9488378544637465,0.9607980796584898,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,153.8
domain_all,1,12000,0.9549305195946006,0.9488378544637465,0.9607980796584898,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,152.5
fixed,1,12000,0.955489662558976,0.9495141644864995,0.9614254913034859,0.9977827050997783,0.7929993964996982,0.2047833086000801,0.9962708175246615,2542.4396073499997,0.0,2542.4396073499997,0.0,0.0,1.0,0,[],0.1,106.6
random,1,12000,0.8890000095824799,0.8808048788767896,0.8966412659007128,0.9367835355634511,0.7929993964996982,0.14378413906375287,0.9375246837156258,2354.409158525,0.0,2354.409158525,0.0,0.0,2.4088333333333334,0,[],0.1,104.3
core_only,1,12000,0.954194120983043,0.9483255312458232,0.959526699559962,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,51.2
constrained,1,12000,0.954194120983043,0.9483255312458232,0.959526699559962,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,51.2
no_core,1,12000,0.051079942236038046,0.05015094339622641,0.05207884003475264,0.02169305572871213,0.7929993964996982,-0.771306340770986,0.4994436456905006,1.9991873000000002,0.0,1.9991873000000002,0.0,0.0,1.6,8,"['ddos', 'dos', 'injection', 'mitm', 'password', 'ransomware', 'scanning', 'xss']",0.1,3.7
exhaustive,2,12000,0.9549305195946006,0.9477054006264767,0.9616508866507801,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,152.5
domain_all,2,12000,0.9549305195946006,0.9477054006264767,0.9616508866507801,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,153.8
fixed,2,12000,0.955489662558976,0.9483635817157018,0.9621927237589968,0.9977827050997783,0.7929993964996982,0.2047833086000801,0.9962708175246615,2542.4396073499997,0.0,2542.4396073499997,0.0,0.0,1.0,0,[],0.1,109.8
random,2,12000,0.8880339764741247,0.8798837143222288,0.8970870596971423,0.934364492266308,0.7929993964996982,0.14136509576660983,0.935838240492979,2363.6554809166664,0.0,2363.6554809166664,0.0,0.0,2.4185833333333333,0,[],0.1,105.3
core_only,2,12000,0.954194120983043,0.9464093659261262,0.9612279987243857,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,51.3
constrained,2,12000,0.954194120983043,0.9464093659261262,0.9612279987243857,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,51.7
no_core,2,12000,0.051079942236038046,0.05011263183235692,0.05215177218187077,0.02169305572871213,0.7929993964996982,-0.771306340770986,0.4994436456905006,1.9991873000000002,0.0,1.9991873000000002,0.0,0.0,1.6,8,"['ddos', 'dos', 'injection', 'mitm', 'password', 'ransomware', 'scanning', 'xss']",0.1,3.5
exhaustive,3,12000,0.9549305195946006,0.9480664945792938,0.9611932538169335,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,152.7
domain_all,3,12000,0.9549305195946006,0.9480664945792938,0.9611932538169335,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,151.8
fixed,3,12000,0.955489662558976,0.9488394221473236,0.9615312648469669,0.9977827050997783,0.7929993964996982,0.2047833086000801,0.9962708175246615,2542.4396073499997,0.0,2542.4396073499997,0.0,0.0,1.0,0,[],0.1,106.3
random,3,12000,0.8888425147409652,0.8800937038817975,0.8970810981405601,0.9370348018507343,0.7929993964996982,0.1440354053510361,0.9380105923647998,2344.9418496499998,0.0,2344.9418496499998,0.0,0.0,2.4165833333333335,0,[],0.1,103.7
core_only,3,12000,0.954194120983043,0.9472636109722773,0.9604735474403441,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,51.3
constrained,3,12000,0.954194120983043,0.9472636109722773,0.9604735474403441,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,51.2
no_core,3,12000,0.051079942236038046,0.05011791504272772,0.052084452466614535,0.02169305572871213,0.7929993964996982,-0.771306340770986,0.4994436456905006,1.9991873000000002,0.0,1.9991873000000002,0.0,0.0,1.6,8,"['ddos', 'dos', 'injection', 'mitm', 'password', 'ransomware', 'scanning', 'xss']",0.1,3.6
exhaustive,4,12000,0.9549305195946006,0.9480996273478148,0.9606053934168001,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,151.9
domain_all,4,12000,0.9549305195946006,0.9480996273478148,0.9606053934168001,0.9975912778904665,0.7929993964996982,0.20459188139076834,0.9962547315077368,3450.5715364000002,0.0,3450.5715364000002,0.0,0.0,3.6,0,[],0.1,152.1
fixed,4,12000,0.955489662558976,0.948787973304957,0.9612765490185274,0.9977827050997783,0.7929993964996982,0.2047833086000801,0.9962708175246615,2542.4396073499997,0.0,2542.4396073499997,0.0,0.0,1.0,0,[],0.1,106.3
random,4,12000,0.8884391678436199,0.8798550650531177,0.8962879549570416,0.9364014490809071,0.7929993964996982,0.14340205258120886,0.937381758530766,2365.3218644249996,0.0,2365.3218644249996,0.0,0.0,2.4284166666666667,0,[],0.1,104.1
core_only,4,12000,0.954194120983043,0.9468281203041721,0.9599381415289306,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,51.4
constrained,4,12000,0.954194120983043,0.9468281203041721,0.9599381415289306,0.9974029264584785,0.7929993964996982,0.2044035299587803,0.9956580697075526,1120.1126365999999,0.0,1120.1126365999999,0.0,0.0,1.0,0,[],0.1,51.4
no_core,4,12000,0.051079942236038046,0.05007794873403907,0.05213808485507197,0.02169305572871213,0.7929993964996982,-0.771306340770986,0.4994436456905006,1.9991873000000002,0.0,1.9991873000000002,0.0,0.0,1.6,8,"['ddos', 'dos', 'injection', 'mitm', 'password', 'ransomware', 'scanning', 'xss']",0.1,3.5
