,exhaustive,domain_all,fixed,random,core_only,constrained,no_core
backdoor,0.9994597514856834,0.9994597514856834,0.9994597514856834,0.9048958919527293,0.9994597514856834,0.9994597514856834,0.0018814675446848542
ddos,0.9726098191214471,0.9726098191214471,0.9726098191214471,0.915938864628821,0.96900826446281,0.96900826446281,0.0
dos,0.9823182711198428,0.9823182711198428,0.9823356231599607,0.9279419388284085,0.9837837837837838,0.9837837837837838,0.0
injection,0.9726504226752859,0.9726504226752859,0.9721946375372393,0.9237156201349248,0.9672943508424182,0.9672943508424182,0.0
mitm,0.811965811965812,0.811965811965812,0.8170212765957446,0.7547169811320755,0.8138528138528138,0.8138528138528138,0.0
normal,0.9953793774319066,0.9953793774319066,0.995739500912964,0.8988541207580432,0.9950079142822355,0.9950079142822355,0.5089179548156956
password,0.9828510182207931,0.9828510182207931,0.9828510182207931,0.9254237288135593,0.9823623730625334,0.9823623730625334,0.0
ransomware,0.9367088607594937,0.9367088607594937,0.9367088607594937,0.8692082111436951,0.9361936193619362,0.9361936193619362,0.0
scanning,0.9842399593289273,0.9842399593289273,0.9842399593289273,0.920995670995671,0.9847405900305188,0.9847405900305188,0.0
xss,0.911121903836814,0.911121903836814,0.9117361784675073,0.8575883575883576,0.9102377486656963,0.9102377486656963,0.0
